Object,View,Algo,Merge,Input_Views,IOU,MSE
chair,bottom,SPATIAL,CARVE,VOTE_from_top_front,1.0000,60.9644
chair,back,HYBRID,DEPTH,VOTE_from_top_front_left,0.8787,72.4254
chair,bottom,HYBRID,DEPTH,VOTE_from_top_front,1.0000,61.4008
chair,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front,1.0000,60.9644
chair,bottom,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,46.2150
plant,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,57.9759
plant,right,DEPTH,MAPPING,from_front_left,0.9688,36.2129
plant,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,62.6968
plant,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,62.6968
plant,back,HYBRID,DEPTH,PROJ_from_front_left,0.9819,65.2945
plant,back,DEPTH,MAPPING,from_front_left,0.9822,40.8032
plant,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,0.9936,73.4409
plant,right,SPATIAL,CARVE,PROJ_from_front_left,0.9936,73.4409
plant,right,HYBRID,DEPTH,VOTE_from_front_left,0.9679,67.8786
plant,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,0.9936,67.4624
plant,right,HYBRID,DEPTH,PROJ_from_front_left,0.9679,75.2318
plant,back,SPATIAL,CARVE,VOTE_from_front_left,1.0000,57.9759
plant,back,HYBRID,DEPTH,VOTE_from_front_left,0.9819,58.8180
plant,right,SPATIAL,CARVE,VOTE_from_front_left,0.9936,67.4624
pillar,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,130.1806
pillar,right,DEPTH,MAPPING,from_front_left,1.0000,132.5243
pillar,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,130.9132
pillar,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,130.9132
pillar,back,HYBRID,DEPTH,PROJ_from_front_left,1.0000,130.9132
pillar,back,DEPTH,MAPPING,from_front_left,1.0000,131.8854
pillar,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,130.3854
pillar,right,SPATIAL,CARVE,PROJ_from_front_left,1.0000,130.3854
pillar,right,HYBRID,DEPTH,VOTE_from_front_left,1.0000,131.8854
pillar,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,131.8854
pillar,right,HYBRID,DEPTH,PROJ_from_front_left,1.0000,130.3854
pillar,back,SPATIAL,CARVE,VOTE_from_front_left,1.0000,130.1806
pillar,back,HYBRID,DEPTH,VOTE_from_front_left,1.0000,130.1806
pillar,right,SPATIAL,CARVE,VOTE_from_front_left,1.0000,131.8854
feesh,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,0.9718,84.8406
feesh,right,DEPTH,MAPPING,from_front_left,0.9841,72.2591
feesh,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,95.8318
feesh,bottom,HYBRID,DEPTH,PROJ_from_top_front_left,0.8411,99.0185
feesh,back,DEPTH,MAPPING,from_top_front_left,1.0000,79.0423
feesh,right,DEPTH,MAPPING,from_top_left,0.9873,77.8409
feesh,back,DEPTH,MAPPING,from_top_front,1.0000,94.5634
feesh,bottom,DEPTH,MAPPING,from_top_front_left,0.9772,95.9891
feesh,back,SPATIAL,CARVE,PROJ_from_front_left,0.9718,89.5797
feesh,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,0.9718,89.5797
feesh,back,HYBRID,DEPTH,PROJ_from_front_left,0.9718,89.5797
feesh,back,SPATIAL,CARVE,PROJ_from_top_front_left,0.9718,83.5338
